id,title_english,title_romaji,title_native,format,status,episodes,season,season_year,average_score,mean_score,popularity,favourites,genres,tags,tag_categories,sp_tags,main_studio,prequel_id,sequel_id
112930,"Yes, No, or Maybe?",Yes ka No ka Hanbun ka,イエスかノーか半分か,MOVIE,FINISHED,1,FALL,2020,69,69,20104,361,Romance,Boys' Love|Primarily Male Cast|Primarily Adult Cast|Male Protagonist|Work|Tsundere|Bisexual|LGBTQ+ Themes,Theme-Romance|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Setting-Scene|Cast-Traits|Cast-Traits|Theme-Other,Rape,Lesprit,,
107622,,Kakegurui Picture Drama,賭ケグルイ,SPECIAL,FINISHED,3,FALL,2017,70,70,20084,237,Comedy,Gambling|Female Protagonist|Maids|Nekomimi|Primarily Female Cast|Otaku Culture|Tsundere,Theme-Other|Cast-Main Cast|Cast-Traits|Cast-Traits|Cast-Main Cast|Theme-Other|Cast-Traits,,MAPPA,,
204436,,Gachiakuta 2nd Season,ガチアクタ 第2期,TV,NOT_YET_RELEASED,,,,,,20081,219,Action|Drama|Fantasy,Shounen|Urban Fantasy|Dystopian|Super Power|Revenge|Post-Apocalyptic|Class Struggle,Demographic|Setting-Universe|Setting-Time|Theme-Fantasy|Theme-Drama|Setting-Universe|Theme-Drama,,,178025,
21704,Bananya,Bananya,ばなにゃ,TV_SHORT,FINISHED,13,SUMMER,2016,63,63,20079,208,Comedy|Fantasy|Slice of Life,Episodic|Kids|Animals|Chibi|Primarily Animal Cast|Iyashikei,Technical|Demographic|Theme-Other|Theme-Other|Cast-Main Cast|Theme-Slice of Life,,Gathering,110881,180599
17121,,Dareka no Manazashi,だれかのまなざし,MOVIE,FINISHED,1,WINTER,2013,70,70,20079,102,Drama|Slice of Life,Primarily Adult Cast|Family Life|Animals|Female Protagonist,Cast-Main Cast|Theme-Slice of Life|Theme-Other|Cast-Main Cast,Coming of Age|Tragedy,CoMix Wave,,
19117,The Pilot's Love Song,Toaru Hikuushi e no Koiuta,とある飛空士への恋歌,TV,FINISHED,13,WINTER,2014,68,68,20047,150,Adventure|Drama|Romance,Aviation|Military|CGI|Guns,Theme-Other-Vehicle|Theme-Other-Organisations|Technical|Theme-Action,War|Tragedy|Revenge,TMS Entertainment,,
20604,,Inugami-san to Nekoyama-san,犬神さんと猫山さん,TV_SHORT,FINISHED,12,SPRING,2014,61,61,20028,118,Comedy|Slice of Life,Yuri|Primarily Female Cast|Cute Girls Doing Cute Things|Female Protagonist|Episodic|Kemonomimi|LGBTQ+ Themes|Feet|School|Meta,Theme-Romance|Cast-Main Cast|Theme-Slice of Life|Cast-Main Cast|Technical|Cast-Traits|Theme-Other|Sexual Content|Setting-Scene|Theme-Other,,Seven,,
21423,Kumamiko -Girl Meets Bear,Kuma Miko,くまみこ,TV,FINISHED,12,SPRING,2016,59,59,20019,116,Comedy|Slice of Life,Rural|Shrine Maiden|Bullying|Seinen|Animals|Disability|Female Protagonist|Anthropomorphism|Idol,Setting-Scene|Cast-Traits|Theme-Drama|Demographic|Theme-Other|Cast-Traits|Cast-Main Cast|Cast-Traits|Cast-Traits,,Kinema Citrus,,
565,Steamboy,Steamboy,スチームボーイ,MOVIE,FINISHED,1,SUMMER,2004,70,70,20013,168,Action|Adventure|Drama|Sci-Fi,Military|Steampunk|Historical|Ojou-sama|Male Protagonist|Foreign|Fugitive,Theme-Other-Organisations|Theme-Fantasy|Setting-Time|Cast-Traits|Cast-Main Cast|Setting-Scene|Theme-Action,,Sunrise,,
9981,Phi Brain: Puzzle of God,Phi Brain: Kami no Puzzle,ファイ・ブレイン 神のパズル,TV,FINISHED,25,FALL,2011,67,68,20003,148,Action|Mystery,Male Protagonist|Super Power|Death Game|Card Battle|Episodic|Shounen|Urban|Primarily Male Cast|Ensemble Cast|Primarily Teen Cast|Tomboy|Female Protagonist|Heterosexual|School|Idol|Motorcycles|Femboy,Cast-Main Cast|Theme-Fantasy|Theme-Other|Theme-Game-Card & Board Game|Technical|Demographic|Setting-Scene|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Cast-Traits|Cast-Main Cast|Theme-Romance|Setting-Scene|Cast-Traits|Theme-Other-Vehicle|Cast-Traits,Orphan|Acting|Memory Manipulation|Dissociative Identities|Adoption|Tragedy|Conspiracy|Travel|Foreign|Crossdressing|Achromatic,Sunrise,,12753
195518,The Villainess Is Adored by the Prince of the Neighbor Kingdom,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai Sareru,悪役令嬢は隣国の王太子に溺愛される,TV,FINISHED,12,WINTER,2026,59,59,19979,266,Fantasy|Romance,Shoujo|Royal Affairs|Villainess|Isekai|Female Protagonist|Heterosexual|Fairy|Magic,Demographic|Theme-Other|Cast-Traits|Theme-Fantasy|Cast-Main Cast|Theme-Romance|Cast-Traits|Theme-Fantasy,Love Triangle,Studio DEEN,,
168345,Dungeon People,Dungeon no Naka no Hito,ダンジョンの中のひと,TV,FINISHED,12,SUMMER,2024,70,70,19972,434,Adventure|Comedy|Fantasy,Work|Dungeon|Iyashikei|Female Protagonist|Cute Girls Doing Cute Things|Swordplay|Kingdom Management|Medieval|Goblin|Zombie,Setting-Scene|Setting-Scene|Theme-Slice of Life|Cast-Main Cast|Theme-Slice of Life|Theme-Action|Theme-Drama|Setting-Time|Cast-Traits|Cast-Traits,LGBTQ+ Themes|Clone|Gore|Yuri,OLM,,
141400,Peter Grill and the Philosopher’s Time: Super Extra,Peter Grill to Kenja no Jikan: Super Extra,ピーター・グリルと賢者の時間 Super Extra,TV_SHORT,FINISHED,12,FALL,2022,57,57,19969,289,Comedy|Ecchi|Fantasy,Female Harem|Male Protagonist|Heterosexual|Nudity|Netorare|Seinen|Monster Girl|Goblin|Elf|Magic|Anthropomorphism|Inseki,Theme-Romance|Cast-Main Cast|Theme-Romance|Cast-Traits|Sexual Content|Demographic|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Fantasy|Cast-Traits|Sexual Content,,Seven,111965,
112686,7SEEDS Part 2,7SEEDS 2,7SEEDS 2,ONA,FINISHED,12,SPRING,2020,69,69,19967,195,Action|Drama|Sci-Fi,Survival|Primarily Teen Cast|Ships|Coastal|Josei|Ensemble Cast|Environmental|Outdoor Activities|Post-Apocalyptic|Tragedy|Crime|Primarily Adult Cast|Guns|Urban Fantasy|Isekai,Theme-Other|Cast-Main Cast|Theme-Other-Vehicle|Setting-Scene|Demographic|Cast-Main Cast|Theme-Other|Setting-Scene|Setting-Universe|Theme-Drama|Theme-Other|Cast-Main Cast|Theme-Action|Setting-Universe|Theme-Fantasy,,GONZO,105807,
101574,SHIROBAKO the Movie,SHIROBAKO Movie,劇場版 SHIROBAKO,MOVIE,FINISHED,1,WINTER,2020,76,76,19953,144,Comedy|Drama|Slice of Life,Primarily Adult Cast|Work|Drawing|Female Protagonist|Ensemble Cast|Meta|Educational|Otaku Culture|Primarily Female Cast|Acting|Office Lady|Mahjong|Kuudere,Cast-Main Cast|Setting-Scene|Theme-Arts|Cast-Main Cast|Cast-Main Cast|Theme-Other|Theme-Other|Theme-Other|Cast-Main Cast|Theme-Arts|Cast-Traits|Theme-Game-Card & Board Game|Cast-Traits,,P.A.WORKS,20812,
113024,Revue Starlight: The Movie,Shoujo☆Kageki Revue Starlight Movie,劇場版 少女☆歌劇 レヴュースタァライト,MOVIE,FINISHED,1,SPRING,2021,87,87,19948,2382,Action|Drama|Music|Psychological,Acting|Musical Theater|Coming of Age|Ensemble Cast|Primarily Female Cast|Female Protagonist|Swordplay|Primarily Teen Cast|Yuri|CGI|Classic Literature|Spearplay|LGBTQ+ Themes|Desert|Dancing|Henshin|School|Love Triangle|Animals|Archery|Urban|Boarding School,Theme-Arts|Theme-Arts-Music|Theme-Drama|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Theme-Action|Cast-Main Cast|Theme-Romance|Technical|Theme-Arts|Theme-Action|Theme-Other|Setting-Scene|Theme-Arts-Music|Theme-Fantasy|Setting-Scene|Theme-Romance|Theme-Other|Theme-Action|Setting-Scene|Setting-Scene,Meta|Trains|Athletics|Yandere,Kinema Citrus,98658|113023,
187940,Inexpressive Kashiwada and Expressive Oota,Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,顔に出ない柏田さんと顔に出る太田君,TV,FINISHED,12,FALL,2025,68,69,19939,275,Comedy|Romance|Slice of Life,Shounen|Heterosexual|Kuudere|School|Male Protagonist|Episodic|Tsundere|Iyashikei|Bullying|Female Protagonist|Meta|Tennis|Primarily Teen Cast,Demographic|Theme-Romance|Cast-Traits|Setting-Scene|Cast-Main Cast|Technical|Cast-Traits|Theme-Slice of Life|Theme-Drama|Cast-Main Cast|Theme-Other|Theme-Game-Sport|Cast-Main Cast,,STUDIO POLON,,
166700,Twilight Out of Focus,Tasogare Outfocus,黄昏アウトフォーカス,TV,FINISHED,12,SUMMER,2024,73,73,19931,409,Drama|Romance,Boys' Love|LGBTQ+ Themes|Filmmaking|School|School Club|Cohabitation|Acting|Male Protagonist|Primarily Teen Cast|Primarily Male Cast|Ensemble Cast|Kuudere|Coming of Age|Twins|Nudity,Theme-Romance|Theme-Other|Theme-Other|Setting-Scene|Setting-Scene|Theme-Romance|Theme-Arts|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Cast-Traits|Theme-Drama|Cast-Traits|Cast-Traits,Achronological Order|Fake Relationship|Crossdressing|Estranged Family|Age Gap,Studio DEEN,,
20777,"Love, Chunibyo & Other Delusions - Heart Throb - Specials",Chuunibyou demo Koi ga Shitai! Ren Specials,中二病でも恋がしたい！戀 未放送ショートムービー,SPECIAL,FINISHED,7,SPRING,2014,69,69,19922,141,Comedy,Cute Girls Doing Cute Things|Chuunibyou|School Club,Theme-Slice of Life|Cast-Traits|Setting-Scene,,Kyoto Animation,,
12783,Heaven's Lost Property Final – The Movie: Eternally My Master,Sora no Otoshimono Final: Eien no Watashi no Torikago,そらのおとしものＦｉｎａｌ永遠の私の鳥籠［エターナルマイマスター］,MOVIE,FINISHED,1,SPRING,2014,63,63,19922,213,Comedy|Ecchi|Romance|Sci-Fi|Supernatural,Angels|Heterosexual|Aliens|Robots|Artificial Intelligence|Slavery|Rural|Female Harem|Shounen|School Club|Male Protagonist|Female Protagonist|Tsundere|Kuudere|Nudity,Cast-Traits|Theme-Romance|Cast-Traits|Cast-Traits|Cast-Traits|Theme-Other|Setting-Scene|Theme-Romance|Demographic|Setting-Scene|Cast-Main Cast|Cast-Main Cast|Cast-Traits|Cast-Traits|Cast-Traits,Tragedy,Production IMS,9790,
98574,Hitori no Shita - The Outcast 2,Yi Ren Zhi Xia 2,一人之下 2,TV,FINISHED,24,,,71,71,19909,261,Action|Supernatural,Urban Fantasy|Super Power|Martial Arts|Female Protagonist|Male Protagonist|Wuxia,Setting-Universe|Theme-Fantasy|Theme-Action|Cast-Main Cast|Cast-Main Cast|Theme-Fantasy,,Haoliners Animation,21840,105401
