id,title_english,title_romaji,title_native,format,status,episodes,season,season_year,average_score,mean_score,popularity,favourites,genres,tags,tag_categories,main_studio
15051,Love Live! School Idol Project,Love Live! School idol project,ラブライブ! School idol project,TV,FINISHED,13,WINTER,2013,72,72,110719,3076,Music|Slice of Life,Idol|Dancing|Primarily Female Cast|School Club|Ensemble Cast|School|Female Protagonist|Cute Girls Doing Cute Things|Primarily Teen Cast|CGI|Tsundere|Tomboy|Fashion|Maids|Shrine Maiden,Cast-Traits|Theme-Arts-Music|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Setting-Scene|Cast-Main Cast|Theme-Slice of Life|Cast-Main Cast|Technical|Cast-Traits|Cast-Traits|Theme-Arts|Cast-Traits|Cast-Traits,Sunrise
174788,LOOK BACK,Look Back,ルックバック,MOVIE,FINISHED,1,SPRING,2024,86,86,110698,7681,Drama|Slice of Life,Drawing|Female Protagonist|Tragedy|Coming of Age|Primarily Female Cast|Meta|Work|Autobiographical|Philosophy|Hikikomori|Rotoscoping|Rehabilitation|School|Otaku Culture|Rural|Yuri|LGBTQ+ Themes,Theme-Arts|Cast-Main Cast|Theme-Drama|Theme-Drama|Cast-Main Cast|Theme-Other|Setting-Scene|Theme-Other|Theme-Other|Cast-Traits|Technical|Theme-Drama|Setting-Scene|Theme-Other|Setting-Scene|Theme-Romance|Theme-Other,Studio Durian
98320,LOVE and LIES,Koi to Uso,恋と嘘,TV,FINISHED,12,SUMMER,2017,62,62,110536,1335,Drama|Romance,Love Triangle|Coming of Age|Heterosexual|Tsundere|School|Arranged Marriage|Male Protagonist|Shounen|Primarily Teen Cast|Dystopian|LGBTQ+ Themes|Yandere|Mixed Gender Harem|Otaku Culture|Crossdressing,Theme-Romance|Theme-Drama|Theme-Romance|Cast-Traits|Setting-Scene|Cast-Traits|Cast-Main Cast|Demographic|Cast-Main Cast|Setting-Time|Theme-Other|Cast-Traits|Theme-Romance|Theme-Other|Cast-Traits,LIDENFILMS
185,Initial D 1st Stage,Initial D,頭文字D,TV,FINISHED,26,SPRING,1998,82,82,110183,6082,Action|Drama|Sports,Cars|Male Protagonist|CGI|Rural|Primarily Male Cast|Seinen|Coming of Age|Heterosexual|Age Gap|Work|Primarily Adult Cast|School,Theme-Other-Vehicle|Cast-Main Cast|Technical|Setting-Scene|Cast-Main Cast|Demographic|Theme-Drama|Theme-Romance|Theme-Romance|Setting-Scene|Cast-Main Cast|Setting-Scene,Studio Comet
112300,The Irregular at Magic High School: Visitor Arc,Mahouka Koukou no Rettousei: Raihousha-hen,魔法科高校の劣等生 来訪者編,TV,FINISHED,13,FALL,2020,72,72,109818,1921,Action|Romance|Sci-Fi|Supernatural,Magic|School|Espionage|Military|Terrorism|Kuudere|Male Protagonist|Swordplay|Female Harem|Superhero|Vampire|Tsundere|Incest|Crossdressing,Theme-Fantasy|Setting-Scene|Theme-Action|Theme-Other-Organisations|Theme-Other|Cast-Traits|Cast-Main Cast|Theme-Action|Theme-Romance|Theme-Fantasy|Cast-Traits|Cast-Traits|Sexual Content|Cast-Traits,8-bit
20812,SHIROBAKO,SHIROBAKO,SHIROBAKO,TV,FINISHED,24,FALL,2014,81,81,109660,2946,Comedy|Drama|Slice of Life,Work|Primarily Adult Cast|Drawing|Female Protagonist|Ensemble Cast|Meta|Otaku Culture|Educational|Office Lady|Primarily Female Cast|Coming of Age|Cute Girls Doing Cute Things|Office|Urban|Acting|Cars|Bowling|Kuudere|Primarily Teen Cast,Setting-Scene|Cast-Main Cast|Theme-Arts|Cast-Main Cast|Cast-Main Cast|Theme-Other|Theme-Other|Theme-Other|Cast-Traits|Cast-Main Cast|Theme-Drama|Theme-Slice of Life|Setting-Scene|Setting-Scene|Theme-Arts|Theme-Other-Vehicle|Theme-Game-Sport|Cast-Traits|Cast-Main Cast,P.A.WORKS
20849,God Eater,GOD EATER,GOD EATER,TV,FINISHED,13,SUMMER,2015,69,69,109568,1762,Action|Sci-Fi,Post-Apocalyptic|Kaiju|CGI|Super Power|Female Protagonist|Dystopian|Male Protagonist|Military|Body Horror|Full CGI|Conspiracy,Setting-Universe|Theme-Fantasy|Technical|Theme-Fantasy|Cast-Main Cast|Setting-Time|Cast-Main Cast|Theme-Other-Organisations|Theme-Other|Technical|Theme-Drama,ufotable
108268,Ascendance of a Bookworm,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,本好きの下剋上 司書になるためには手段を選んでいられません,TV,FINISHED,14,FALL,2019,78,78,109460,3428,Fantasy|Slice of Life,Class Struggle|Medieval|Reincarnation|Female Protagonist|Isekai|Work|Age Regression|Economics|Family Life|Josei|Primarily Child Cast|Educational|Magic|Orphan|Adoption|Historical|Writing|Time Skip|Makeup|Chibi|Archery,Theme-Drama|Setting-Time|Theme-Other|Cast-Main Cast|Theme-Fantasy|Setting-Scene|Cast-Traits|Theme-Other|Theme-Slice of Life|Demographic|Cast-Main Cast|Theme-Other|Theme-Fantasy|Cast-Traits|Theme-Other|Setting-Time|Theme-Arts|Setting-Time|Theme-Arts|Theme-Other|Theme-Action,Ajiado
101310,Boarding School Juliet,Kishuku Gakkou no Juliet,寄宿学校のジュリエット,TV,FINISHED,12,FALL,2018,73,73,108850,2236,Comedy|Romance,Heterosexual|School|Gangs|Boarding School|Male Protagonist|Parody|Foreign|Shounen|Primarily Female Cast|Athletics|Love Triangle|Tsundere|Bullying|Twins|Female Harem|Crossdressing|LGBTQ+ Themes,Theme-Romance|Setting-Scene|Theme-Other-Organisations|Setting-Scene|Cast-Main Cast|Theme-Comedy|Setting-Scene|Demographic|Cast-Main Cast|Theme-Game-Sport|Theme-Romance|Cast-Traits|Theme-Drama|Cast-Traits|Theme-Romance|Cast-Traits|Theme-Other,LIDENFILMS
151514,Orb: On the Movements of the Earth,Chi. Chikyuu no Undou ni Tsuite,チ。-地球の運動について-,TV,FINISHED,25,FALL,2024,86,86,108812,6212,Drama,Astronomy|Philosophy|Religion|Ensemble Cast|Seinen|Historical|Foreign|Tragedy|Time Skip|Medieval|Fugitive|Conspiracy|Torture|Meta|Primarily Male Cast|Female Protagonist|Male Protagonist|Politics|Suicide|Gore|Swordplay|Assassins|Alternate Universe,Theme-Other|Theme-Other|Theme-Other|Cast-Main Cast|Demographic|Setting-Time|Setting-Scene|Theme-Drama|Setting-Time|Setting-Time|Theme-Action|Theme-Drama|Theme-Other|Theme-Other|Cast-Main Cast|Cast-Main Cast|Cast-Main Cast|Theme-Other|Theme-Drama|Theme-Other|Theme-Action|Theme-Other-Organisations|Setting-Universe,MADHOUSE
